epoch,train_loss,val_loss,val_mse,val_rmse,val_mae,val_dir_acc
1,0.0016741136555887156,0.0004920263159102901,0.0004920263309031725,0.022181666549273806,0.013548070564866066,0.48789983164983164
2,0.0008423077814104791,0.0004608553858953669,0.0004608554008882493,0.021467542963465782,0.012599221430718899,0.49452861952861954
3,0.0008187081675498268,0.00046839712909657995,0.0004683971346821636,0.02164248448496992,0.012836684472858906,0.4970538720538721
4,0.0008055256963455798,0.0004555462892496526,0.00045554630924016237,0.021343530852231604,0.012389224953949451,0.4854271885521885
5,0.0008025270435531196,0.00045653287529465604,0.0004565328417811543,0.02136662916281261,0.012413510121405125,0.4864793771043771
6,0.0007942228384215284,0.00045513265943766167,0.00045513262739405036,0.02133383761525456,0.012371093966066837,0.49642255892255893
7,0.0007877639598666212,0.00045466293654912573,0.00045466292067430913,0.02132282628251492,0.01234559528529644,0.4963173400673401
8,0.0007812430709600448,0.000454582296302448,0.0004545823612716049,0.021320937157442328,0.01233326643705368,0.4975799663299663
9,0.0007791801065055502,0.00045506052632881985,0.00045506053720600903,0.021332147974501045,0.012363218702375889,0.4963173400673401
10,0.0007762137011347993,0.000460489806213482,0.00046048976946622133,0.021459025361516802,0.012563803233206272,0.4963173400673401
11,0.0007728623353397926,0.00045458840693093157,0.0004545884148683399,0.021321079120634114,0.012331772595643997,0.4963173400673401
12,0.000770568936572385,0.0004545843973638245,0.0004545843694359064,0.021320984251105915,0.012333216145634651,0.4963173400673401
13,0.0007697978244490317,0.000454649598175434,0.0004546496202237904,0.021322514397316993,0.012340351939201355,0.4963173400673401
14,0.0007668047452446174,0.00045621623032293614,0.0004562162503134459,0.0213592193282771,0.012410765513777733,0.4963173400673401
15,0.0007652047102817812,0.00045912543422250887,0.00045912544010207057,0.021427212606918114,0.012516515329480171,0.4963173400673401
16,0.0007649892886370622,0.0004610315175736417,0.00046103153727017343,0.02147164495957805,0.012581967748701572,0.4963173400673401
17,0.0007639542185525234,0.00045458102984485604,0.00045458105159923434,0.021320906444127423,0.012333277612924576,0.4963173400673401
18,0.0007637772915217824,0.00045469574979506433,0.00045469574979506433,0.02132359608028309,0.012343566864728928,0.4963173400673401
19,0.0007637638497367703,0.00045540797403035215,0.0004554079787340015,0.02134029003397099,0.01237796526402235,0.4963173400673401
20,0.0007631599769701024,0.0004574742657367629,0.0004574742924887687,0.021388648683092832,0.012457934208214283,0.4963173400673401
21,0.0007626393446195368,0.0004562827555058204,0.0004562827234622091,0.021360775347870897,0.01241336390376091,0.4963173400673401
22,0.000762540925470357,0.0004555908254597035,0.00045559086720459163,0.021344574655040367,0.012385668233036995,0.4963173400673401
23,0.0007625243525851417,0.00045474861264040677,0.0004547486314550042,0.021324836024105887,0.012346756644546986,0.4963173400673401
24,0.0007623447182374327,0.00045601327755403787,0.0004560132510960102,0.021354466771521367,0.0124027905985713,0.4963173400673401
25,0.0007626642479649367,0.0004574757279837598,0.00045747574768029153,0.021388682700911984,0.012457987293601036,0.4963173400673401
26,0.0007623169215307949,0.0004557699874640828,0.0004557700303848833,0.0213487711680294,0.01239304430782795,0.4963173400673401
